Year,Month,Q(m3/s),,,,,,,,,,
1963,9,2842,,,,,,,,,,
1963,10,2597,,,,,,,,,,
1963,11,2569,,,,,,,,,,
1963,12,2693,,,,,,,,,,
1964,1,2638,,,,,,,,,,
1964,2,3054,,,,,,,,,,
1964,3,2981,,,,,,,,,,
1964,4,3936,,,,,,,,,,
1964,5,8185,,,,,,,,,,
1964,6,16335,,,,,,,,,,
1964,7,10043,,,,,,,,,,
1964,8,4598,,,,,,,,,,
1964,9,2987,,,,,,,,,,
1964,10,3427,,,,,,,,,,
1964,11,3050,,,,,,,,,,
1964,12,4698,,,,,,,,,,
1965,1,4893,,,,,,,,,,
1965,2,6643,,,,,,,,,,
1965,3,5225,,,,,,,,,,
1965,4,6938,,,,,,,,,,
1965,5,11407,,,,,,,,,,
1965,6,13767,,,,,,,,,,
1965,7,8280,,,,,,,,,,
1965,8,4752,,,,,,,,,,
1965,9,3275,,,,,,,,,,
1965,10,3041,,,,,,,,,,
1965,11,3044,,,,,,,,,,
1965,12,3237,,,,,,,,,,
1966,1,3324,,,,,,,,,,
1966,2,3454,,,,,,,,,,
1966,3,3676,,,,,,,,,,
1966,4,4243,,,,,,,,,,
1966,5,7417,,,,,,,,,,
1966,6,9540,,,,,,,,,,
1966,7,7366,,,,,,,,,,
1966,8,3849,,,,,,,,,,
1966,9,2802,,,,,,,,,,
1966,10,2734,,,,,,,,,,
1966,11,2814,,,,,,,,,,
1966,12,3294,,,,,,,,,,
1967,1,3580,,,,,,,,,,
1967,2,3714,,,,,,,,,,
1967,3,3858,,,,,,,,,,
1967,4,4140,,,,,,,,,,
1967,5,7191,,,,,,,,,,
1967,6,16373,,,,,,,,,,
1967,7,9841,,,,,,,,,,
1967,8,4386,,,,,,,,,,
1967,9,3073,,,,,,,,,,
1967,10,3059,,,,,,,,,,
1967,11,3223,,,,,,,,,,
1967,12,3752,,,,,,,,,,
1968,1,3533,,,,,,,,,,
1968,2,4217,,,,,,,,,,
1968,3,4698,,,,,,,,,,
1968,4,3466,,,,,,,,,,
1968,5,5545,,,,,,,,,,
1968,6,10125,,,,,,,,,,
1968,7,7272,,,,,,,,,,
1968,8,3952,,,,,,,,,,
1968,9,3489,,,,,,,,,,
1968,10,3330,,,,,,,,,,
1968,11,3659,,,,,,,,,,
1968,12,4031,,,,,,,,,,
1969,1,4985,,,,,,,,,,
1969,2,4918,,,,,,,,,,
1969,3,5295,,,,,,,,,,
1969,4,9752,,,,,,,,,,
1969,5,11342,,,,,,,,,,
1969,6,9602,,,,,,,,,,
1969,7,6699,,,,,,,,,,
1969,8,3472,,,,,,,,,,
1969,9,2858,,,,,,,,,,
1969,10,3256,,,,,,,,,,
1969,11,3480,,,,,,,,,,
1969,12,3601,,,,,,,,,,
1970,1,4489,,,,,,,,,,
1970,2,4141,,,,,,,,,,
1970,3,4187,,,,,,,,,,
1970,4,4273,,,,,,,,,,
1970,5,7578,,,,,,,,,,
1970,6,9701,,,,,,,,,,
1970,7,5154,,,,,,,,,,
1970,8,3631,,,,,,,,,,
1970,9,3082,,,,,,,,,,
1970,10,3217,,,,,,,,,,
1970,11,3364,,,,,,,,,,
1970,12,3629,,,,,,,,,,
1971,1,4477,,,,,,,,,,
1971,2,5509,,,,,,,,,,
1971,3,6120,,,,,,,,,,
1971,4,7193,,,,,,,,,,
1971,5,13792,,,,,,,,,,
1971,6,13899,,,,,,,,,,
1971,7,8068,,,,,,,,,,
1971,8,4569,,,,,,,,,,
1971,9,3062,,,,,,,,,,
1971,10,3288,,,,,,,,,,
1971,11,3618,,,,,,,,,,
1971,12,4138,,,,,,,,,,
1972,1,4432,,,,,,,,,,
1972,2,5322,,,,,,,,,,
1972,3,9360,,,,,,,,,,
1972,4,8242,,,,,,,,,,
1972,5,11394,,,,,,,,,,
1972,6,16125,,,,,,,,,,
1972,7,8347,,,,,,,,,,
1972,8,5120,,,,,,,,,,
1972,9,3606,,,,,,,,,,
1972,10,3427,,,,,,,,,,
1972,11,3587,,,,,,,,,,
1972,12,4339,,,,,,,,,,
1973,1,4262,,,,,,,,,,
1973,2,3903,,,,,,,,,,
1973,3,4225,,,,,,,,,,
1973,4,3962,,,,,,,,,,
1973,5,4205,,,,,,,,,,
1973,6,4069,,,,,,,,,,
1973,7,3756,,,,,,,,,,
1973,8,3628,,,,,,,,,,
1973,9,2877,,,,,,,,,,
1973,10,3154,,,,,,,,,,
1973,11,3365,,,,,,,,,,
1973,12,4763,,,,,,,,,,
1974,1,7154,,,,,,,,,,
1974,2,6708,,,,,,,,,,
1974,3,6431,,,,,,,,,,
1974,4,8770,,,,,,,,,,
1974,5,9977,,,,,,,,,,
1974,6,13629,,,,,,,,,,
1974,7,8363,,,,,,,,,,
1974,8,4748,,,,,,,,,,
1974,9,3815,,,,,,,,,,
1974,10,3686,,,,,,,,,,
1974,11,3731,,,,,,,,,,
1974,12,3859,,,,,,,,,,
1975,1,4526,,,,,,,,,,
1975,2,5075,,,,,,,,,,
1975,3,6154,,,,,,,,,,
1975,4,5955,,,,,,,,,,
1975,5,8748,,,,,,,,,,
1975,6,9301,,,,,,,,,,
1975,7,5686,,,,,,,,,,
1975,8,3711,,,,,,,,,,
1975,9,3132,,,,,,,,,,
1975,10,3340,,,,,,,,,,
1975,11,4209,,,,,,,,,,
1975,12,5644,,,,,,,,,,
