Year,Month,Q(m3/s),,,,,,,,,,
1962,3,3179.0,,,,,,,,,,
1962,4,6115.0,,,,,,,,,,
1962,5,8642.0,,,,,,,,,,
1962,6,11196.0,,,,,,,,,,
1962,7,6744.0,,,,,,,,,,
1962,8,4425.0,,,,,,,,,,
1962,9,2760.0,,,,,,,,,,
1962,10,3075.0,,,,,,,,,,
1962,11,3278.0,,,,,,,,,,
1962,12,3897.0,,,,,,,,,,
1963,1,3590.0,,,,,,,,,,
1963,2,4634.0,,,,,,,,,,
1963,3,3675.0,,,,,,,,,,
1963,4,4743.0,,,,,,,,,,
1963,5,7350.0,,,,,,,,,,
1963,6,11122.0,,,,,,,,,,
1963,7,7085.0,,,,,,,,,,
1963,8,3935.0,,,,,,,,,,
1963,9,2842.0,,,,,,,,,,
1963,10,2597.0,,,,,,,,,,
1963,11,2569.0,,,,,,,,,,
1963,12,2693.0,,,,,,,,,,
1964,1,2638.0,,,,,,,,,,
1964,2,3054.0,,,,,,,,,,
1964,3,2981.0,,,,,,,,,,
1964,4,3936.0,,,,,,,,,,
1964,5,8185.0,,,,,,,,,,
1964,6,16335.0,,,,,,,,,,
1964,7,10043.0,,,,,,,,,,
1964,8,4598.0,,,,,,,,,,
1964,9,2987.0,,,,,,,,,,
1964,10,3427.0,,,,,,,,,,
1964,11,3050.0,,,,,,,,,,
1964,12,4698.0,,,,,,,,,,
1965,1,4893.0,,,,,,,,,,
1965,2,6643.0,,,,,,,,,,
1965,3,5225.0,,,,,,,,,,
1965,4,6938.0,,,,,,,,,,
1965,5,11407.0,,,,,,,,,,
1965,6,13767.0,,,,,,,,,,
1965,7,8280.0,,,,,,,,,,
1965,8,4752.0,,,,,,,,,,
1965,9,3275.0,,,,,,,,,,
1965,10,3041.0,,,,,,,,,,
1965,11,3044.0,,,,,,,,,,
1965,12,3237.0,,,,,,,,,,
1966,1,3324.0,,,,,,,,,,
1966,2,3454.0,,,,,,,,,,
1966,3,3676.0,,,,,,,,,,
1966,4,4243.0,,,,,,,,,,
1966,5,7417.0,,,,,,,,,,
1966,6,9540.0,,,,,,,,,,
1966,7,7366.0,,,,,,,,,,
1966,8,3849.0,,,,,,,,,,
1966,9,2802.0,,,,,,,,,,
1966,10,2734.0,,,,,,,,,,
1966,11,2814.0,,,,,,,,,,
1966,12,3294.0,,,,,,,,,,
1967,1,3580.0,,,,,,,,,,
1967,2,3714.0,,,,,,,,,,
1967,3,3858.0,,,,,,,,,,
1967,4,4140.0,,,,,,,,,,
1967,5,7191.0,,,,,,,,,,
1967,6,16373.0,,,,,,,,,,
1967,7,9841.0,,,,,,,,,,
1967,8,4386.0,,,,,,,,,,
1967,9,3073.0,,,,,,,,,,
1967,10,3059.0,,,,,,,,,,
1967,11,3223.0,,,,,,,,,,
1967,12,3752.0,,,,,,,,,,
1968,1,3533.0,,,,,,,,,,
1968,2,4217.0,,,,,,,,,,
1968,3,4698.0,,,,,,,,,,
1968,4,3466.0,,,,,,,,,,
1968,5,5545.0,,,,,,,,,,
1968,6,10125.0,,,,,,,,,,
1968,7,7272.0,,,,,,,,,,
1968,8,3952.0,,,,,,,,,,
1968,9,3489.0,,,,,,,,,,
1968,10,3330.0,,,,,,,,,,
1968,11,3659.0,,,,,,,,,,
1968,12,4031.0,,,,,,,,,,
1969,1,4985.0,,,,,,,,,,
1969,2,4918.0,,,,,,,,,,
1969,3,5295.0,,,,,,,,,,
1969,4,9752.0,,,,,,,,,,
1969,5,11342.0,,,,,,,,,,
1969,6,9602.0,,,,,,,,,,
1969,7,6699.0,,,,,,,,,,
1969,8,3472.0,,,,,,,,,,
1969,9,2858.0,,,,,,,,,,
1969,10,3256.0,,,,,,,,,,
1969,11,3480.0,,,,,,,,,,
1969,12,3601.0,,,,,,,,,,
1970,1,4489.0,,,,,,,,,,
1970,2,4141.0,,,,,,,,,,
1970,3,4187.0,,,,,,,,,,
1970,4,4273.0,,,,,,,,,,
1970,5,7578.0,,,,,,,,,,
1970,6,9701.0,,,,,,,,,,
1970,7,5154.0,,,,,,,,,,
1970,8,3631.0,,,,,,,,,,
1970,9,3082.0,,,,,,,,,,
1970,10,3217.0,,,,,,,,,,
1970,11,3364.0,,,,,,,,,,
1970,12,3629.0,,,,,,,,,,
1971,1,4477.0,,,,,,,,,,
1971,2,5509.0,,,,,,,,,,
1971,3,6120.0,,,,,,,,,,
1971,4,7193.0,,,,,,,,,,
1971,5,13792.0,,,,,,,,,,
1971,6,13899.0,,,,,,,,,,
