1879	241951	643000	59600		
1880	264292	914000	68300		
1881	252226	598000	73800		
1882	231610	883000	60400		
1883	212177	573000	58800		
1884	214028	698000	45800		
1885	214069	482000	44300		
1886	210270	673000	64400		
1887	260422	896000	62000		
1888	201431	564000	49400		
1889	133837	302000	57400		
1890	196089	633000	41900		
1891	165432	448000	57400		
1892	197798	607000	66200		
1893	219201	679000	61300		
1894	313616	1230000	88000		
1895	193962	475000	80100		
1896	229186	785000	70000		
1897	242822	780000	78000		
1898	230493	649000	82000		
1899	234411	787000	58000		
1900	224364	547000	103000		
1901	218687	662000	81100		
1902	197423	644000	58000		
1903	210941	787000	72200		
1904	242079	629000	80200		
1905	139908	412000	52600		
1906	156715	374000	59200		
1907	229128	587000	77800		
1908	196219	653000	59900		
1909	189655	675000	63400		
1910	212778	566000	79400		
1911	187681	574000	62700		
1912	182832	568000	52000		
1913	213009	759000	63400		
1914	186865	493000	70600		
1915	146785	328000	56800		
1916	238088	727000	57000		
1917	208504	727000	56800		
1918	204659	578000	70600		
1919	172003	553000	60000		
1920	156795	428000	41500		
1921	230087	773000	86600		
1922	183195	677000	64400		
1923	179438	581000	56000		
1924	136795	433000	60800		
1925	201383	642000	68000		
1926	118107	269000	63200		
1927	206056	690000	74000		
1928	231213	766000	86800		
1929	132770	460000	43200		
1930	131393	332000	40000		
1931	121922	308000	50800		
1932	185518	565000	43200		
1933	197995	722000	47200		
1934	211480	453000	86400		
1935	170220	476000	61600		
1936	158919	529000	45100		
1937	128717	376000	36000		
1938	190153	605000	66700		
1939	149724	387000	61000		
1940	148453	369000	61700		
1941	130025	272000	68700		
1942	178581	428000	82000		
1943	207304	541000	76400		
1944	119605	326000	62700		
1945	150813	505000	68200		
1946	196098	581000	71900		
1947	193672	536000	80800		
1948	235468	999000	91100		
1949	180142	622000	74400		
1950	217141	739000	78600		
1951	226431	597000	94300		
1952	198169	557000	87900		
1953	179336	609000	70600		
1954	209054	561000	85200		
1955	178973	545000	86700		
1956	243390	815000	95900		
1957	194119	700000	77000		
1958	180745	584000	80000		
1959	211588	552000	94200		
1960	195347	442000	85600		
1961	189031	699000	80200		
1962	169322	460000	77800		
1963	174148	437000	86100		
1964	184193	662000	79000		
1965	224452	520000	83600		
1966	162022	396000	79500		
1967	191291	622000	85600		
1968	165702	404000	47600		
1969	205827	452000	78500		
1970	166478	425000	72100		
1971	226362	557000	72400		
1972	244140	619000	86600		
1973	136135	221000	75500		
1974	237740	588000	84700		
1975	187014	422000	78700		
1976	220272	418000	76800		
1977	120440	213000	53900		
1978	170530	313000	58800		
1979	152481	311000	65500		
1980	159036	345000	70500		
1981	187412	449000	61700		
1982	228904	443000	63500		
1983	216630	426000	85000		
1984	211532	396000	89000		
1985	165062	295000	71900		
1986	190056	407000	78000		
1987	145089	295000	82600		
1988	135807	245000	78500		
1989	155927	328000	71400		
1990	177004	391000	72300		
1991	203445	372000	90900		
1992	143430	243000	75500		
1993	155248	401000	72200		
1994	132714	230000	61100		
1995	167210	303000	62600		
1996	251871	456000	84200		
1997	263712	571000	93000		
1998	194469	446000	88700
				
