1981	1	1	1.5
1981	1	2	0
1981	1	3	0
1981	1	4	0.4
1981	1	5	0
1981	1	6	1
1981	1	7	1.9
1981	1	8	0.6
1981	1	9	3.7
1981	1	10	0
1981	1	11	0
1981	1	12	0
1981	1	13	0
1981	1	14	12.2
1981	1	15	1.7
1981	1	16	0.6
1981	1	17	0.9
1981	1	18	0.6
1981	1	19	0.4
1981	1	20	0.2
1981	1	21	1.4
1981	1	22	3.2
1981	1	23	0
1981	1	24	0.2
1981	1	25	1.2
1981	1	26	0
1981	1	27	0
1981	1	28	0
1981	1	29	0
1981	1	30	0.2
1981	1	31	0.2
1981	2	1	0
1981	2	2	0
1981	2	3	0.1
1981	2	4	3.8
1981	2	5	0
1981	2	6	9.2
1981	2	7	1.1
1981	2	8	1.7
1981	2	9	0
1981	2	10	0
1981	2	11	0
1981	2	12	0.4
1981	2	13	0
1981	2	14	1.6
1981	2	15	0
1981	2	16	1.2
1981	2	17	0
1981	2	18	0.6
1981	2	19	0.2
1981	2	20	2.5
1981	2	21	1.4
1981	2	22	0
1981	2	23	0
1981	2	24	1
1981	2	25	0.4
1981	2	26	1
1981	2	27	0
1981	2	28	0
1981	3	1	0
1981	3	2	0
1981	3	3	0
1981	3	4	1.6
1981	3	5	5.6
1981	3	6	5
1981	3	7	13.9
1981	3	8	4.6
1981	3	9	0.2
1981	3	10	0
1981	3	11	0
1981	3	12	2.9
1981	3	13	2.5
1981	3	14	0.2
1981	3	15	0
1981	3	16	0
1981	3	17	0
1981	3	18	0
1981	3	19	9.9
1981	3	20	0
1981	3	21	7.2
1981	3	22	0.5
1981	3	23	0
1981	3	24	7.2
1981	3	25	0.5
1981	3	26	0
1981	3	27	0
1981	3	28	0
1981	3	29	0
1981	3	30	0
1981	3	31	0
1981	4	1	0
1981	4	2	0
1981	4	3	0
1981	4	4	0
1981	4	5	0
1981	4	6	0
1981	4	7	0
1981	4	8	0
1981	4	9	0
1981	4	10	0
1981	4	11	0
1981	4	12	0
1981	4	13	0
1981	4	14	0
1981	4	15	0.1
1981	4	16	0
1981	4	17	0
1981	4	18	0.9
1981	4	19	0
1981	4	20	0
1981	4	21	0.2
1981	4	22	0.2
1981	4	23	0
1981	4	24	0
1981	4	25	0
1981	4	26	0
1981	4	27	3.2
1981	4	28	0.2
1981	4	29	0
1981	4	30	17.4
